"county","total_cases","date","new_cases"
"Barnstable",1,2020-03-16,1
"Berkshire",11,2020-03-16,11
"Bristol",2,2020-03-16,2
"Essex",8,2020-03-16,8
"Hampden",1,2020-03-16,1
"Middlesex",83,2020-03-16,83
"Norfolk",36,2020-03-16,36
"Plymouth",3,2020-03-16,3
"Suffolk",36,2020-03-16,36
"Worcester",6,2020-03-16,6
"Unknown",10,2020-03-16,10
"Barnstable",2,2020-03-17,1
"Berkshire",14,2020-03-17,3
"Bristol",5,2020-03-17,3
"Essex",8,2020-03-17,0
"Hampden",1,2020-03-17,0
"Middlesex",89,2020-03-17,6
"Norfolk",43,2020-03-17,7
"Plymouth",5,2020-03-17,2
"Suffolk",42,2020-03-17,6
"Worcester",8,2020-03-17,2
"Unknown",1,2020-03-17,-9
"Barnstable",2,2020-03-18,0
"Berkshire",17,2020-03-18,3
"Bristol",5,2020-03-18,0
"Essex",14,2020-03-18,6
"Franklin",1,2020-03-18,0
"Hampden",2,2020-03-18,1
"Middlesex",100,2020-03-18,11
"Norfolk",45,2020-03-18,2
"Plymouth",5,2020-03-18,0
"Suffolk",51,2020-03-18,9
"Worcester",10,2020-03-18,2
"Unknown",4,2020-03-18,3
"Barnstable",5,2020-03-19,3
"Berkshire",18,2020-03-19,1
"Bristol",6,2020-03-19,1
"Essex",19,2020-03-19,5
"Franklin",1,2020-03-19,0
"Hampden",3,2020-03-19,1
"Hampshire",1,2020-03-19,0
"Middlesex",119,2020-03-19,19
"Norfolk",52,2020-03-19,7
"Plymouth",5,2020-03-19,0
"Suffolk",72,2020-03-19,21
"Worcester",14,2020-03-19,4
"Unknown",13,2020-03-19,9
"Barnstable",9,2020-03-20,4
"Berkshire",20,2020-03-20,2
"Bristol",6,2020-03-20,0
"Essex",29,2020-03-20,10
"Franklin",1,2020-03-20,0
"Hampden",3,2020-03-20,0
"Hampshire",2,2020-03-20,1
"Middlesex",144,2020-03-20,25
"Norfolk",64,2020-03-20,12
"Plymouth",11,2020-03-20,6
"Suffolk",86,2020-03-20,14
"Worcester",19,2020-03-20,5
"Unknown",19,2020-03-20,6
"Barnstable",11,2020-03-21,2
"Berkshire",21,2020-03-21,1
"Bristol",14,2020-03-21,8
"Dukes",1,2020-03-21,0
"Essex",41,2020-03-21,12
"Franklin",2,2020-03-21,1
"Hampden",9,2020-03-21,6
"Hampshire",2,2020-03-21,0
"Middlesex",177,2020-03-21,33
"Norfolk",69,2020-03-21,5
"Plymouth",20,2020-03-21,9
"Suffolk",108,2020-03-21,22
"Worcester",24,2020-03-21,5
"Unknown",26,2020-03-21,7
"Barnstable",24,2020-03-22,13
"Berkshire",23,2020-03-22,2
"Bristol",24,2020-03-22,10
"Dukes",1,2020-03-22,0
"Essex",60,2020-03-22,19
"Franklin",2,2020-03-22,0
"Hampden",12,2020-03-22,3
"Hampshire",4,2020-03-22,2
"Middlesex",199,2020-03-22,22
"Norfolk",75,2020-03-22,6
"Plymouth",25,2020-03-22,5
"Suffolk",126,2020-03-22,18
"Worcester",37,2020-03-22,13
"Unknown",34,2020-03-22,8
"Barnstable",30,2020-03-23,6
"Berkshire",26,2020-03-23,3
"Bristol",25,2020-03-23,1
"Dukes",1,2020-03-23,0
"Essex",73,2020-03-23,13
"Franklin",2,2020-03-23,0
"Hampden",15,2020-03-23,3
"Hampshire",6,2020-03-23,2
"Middlesex",232,2020-03-23,33
"Norfolk",82,2020-03-23,7
"Plymouth",32,2020-03-23,7
"Suffolk",154,2020-03-23,28
"Worcester",42,2020-03-23,5
"Unknown",57,2020-03-23,23
"Barnstable",40,2020-03-24,10
"Berkshire",37,2020-03-24,11
"Bristol",31,2020-03-24,6
"Dukes",2,2020-03-24,1
"Essex",118,2020-03-24,45
"Franklin",5,2020-03-24,3
"Hampden",24,2020-03-24,9
"Hampshire",8,2020-03-24,2
"Middlesex",304,2020-03-24,72
"Norfolk",129,2020-03-24,47
"Plymouth",64,2020-03-24,32
"Suffolk",234,2020-03-24,80
